row_index,status,prompt,width,height,num_frames,frame_rate,seed,mode,image_prompt,image_prompts,image,extra_body_image,video_id,output_path,error_message,duration_seconds
1,success,地球核心的超级爆炸瞬间发生整个星球从内部被撕裂炽热的岩浆和地核物质从裂缝中喷涌而出强烈的橙红色光芒照亮了太空,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzg2M2Q4YTAwN2MyNzExNjBjMjExN2M4YTFhNmFmODhiNzIwYzViMjRlNzJkMjgwOQ==,chapter1_output\0001_地球核心的超级爆炸瞬间发生整个星球从内部_20260614_021114.mp4,,397.9
2,success,强大的爆炸能量以光速向外扩散月球被冲击波击中速度被瞬间加速到每秒一百三十七公里飞向太阳系外,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/46064c6c587240839d853826b2f85928.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzU5MzhlNmRhZmY4ZjkwNzM1YzQ3YjJiYzIxZDBiNTg3NzI4MDlkZWZjNjk2NDUwYw==,chapter1_output\0002_强大的爆炸能量以光速向外扩散月球被冲击波_20260614_020925.mp4,,289.5
3,success,萧宇站在飞船主控室内三十米长的巨大空间充满了全息数据和仪器显示屏他面色凝重地注视着地球毁灭的全过程,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvX2MxZGMwZmM3Y2NmMzlmNTIyNWJiMTZlMDRlMjk5NTBmYjU3MjdmMjY1NzVjZDZjMA==,chapter1_output\0003_萧宇站在飞船主控室内三十米长的巨大空间充_20260614_020945.mp4,,306.2
4,success,萧宇调动庞大的计算力无数数据流在他眼前的全息屏幕上飞速滚动显示着月球的轨道参数和速度变化,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/ebd5e7b43b60406889fee32bf7532cbd.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzkxM2IzYTQzOTY0NzQxOWY4MDdmZDExYWU3MWMwNzdkMDlhN2NmYjRmMTE5ZmU5MQ==,chapter1_output\0004_萧宇调动庞大的计算力无数数据流在他眼前的_20260614_021321.mp4,,525.7
5,success,萧宇将飞船速度加到最大引擎喷射出淡蓝色的等离子火焰飞船缓缓远离地球碎片云朝着太阳系外侧加速驶去,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/46064c6c587240839d853826b2f85928.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvX2EyNTZmYjVhYmI4YjYyYmE0YTc3NjQxNmE5ZTliMTk3NWJiMTE4ZDA0MGYxZTdkYQ==,chapter1_output\0005_萧宇将飞船速度加到最大引擎喷射出淡蓝色的_20260614_021241.mp4,,483.4
6,success,回忆画面:灾难发生前十年萧宇站在全球科学家的聚光灯下面对媒体和同行们展示地球异常数据的全息投影,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/7ff68940cb6a45d2b42b72208d877396.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzhiOWZhYTY0ZjE1NmEwZmExODk4MDJhMzBiNWM1YjQ5OWY1YTNmNGY5MzM4NTlkZQ==,chapter1_output\0006_回忆画面_灾难发生前十年萧宇站在全球科学_20260614_021104.mp4,,386.1
7,success,一位中年科学家在电视镜头前激动地对着麦克风大喊满脸通红地嘲讽萧宇的预言身后是闪烁的闪光灯,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/7ff68940cb6a45d2b42b72208d877396.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvX2JhN2ViNmRhZDM3YmFiYjczNjIyNDcyYzVlYzI5Y2MzMjAyMGUyNGZhZjcxZmI1Zg==,chapter1_output\0007_一位中年科学家在电视镜头前激动地对着麦克_20260614_020919.mp4,,283.8
8,success,萧宇淡出科学界独自站在海边的悬崖上海风吹拂着实验服望着远处落日和波涛神情落寞而坚定,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzhhZjViYmQ2ODkzOGJhYjZlZTcwMzU4YjdjOTFkNzQ2NDg3MzNhZGQ0OWM5OTUyYQ==,chapter1_output\0008_萧宇淡出科学界独自站在海边的悬崖上海风吹_20260614_020908.mp4,,272.3
9,success,萧宇在秘密的地下实验室中疯狂工作了八年时间实验室的灯昼夜不灭巨大的空间里摆满了精密仪器和金属构件,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/b3664d00eb37442bbfa1ca28f32a5328.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzU0N2MzOWI4YTEzMmI4NWU0MTYyOTg5ZGQ4ZDY5NjEyYzBiOWIwNTAyOTQyYmZkOA==,chapter1_output\0009_萧宇在秘密的地下实验室中疯狂工作了八年时_20260614_020914.mp4,,277.4
10,success,人类第一艘真正意义上的星际飞船在地球同步轨道上缓缓组装完毕巨大的船体在蓝色地球的映衬下无比壮观,,,81,24,42,,,,https://platform-outputs.agnes-ai.space/images/text-to-image/2026/06/46064c6c587240839d853826b2f85928.png,,video_bGl0ZWxsbTpjdXN0b21fbGxtX3Byb3ZpZGVyOm9wZW5haTttb2RlbF9pZDphZ25lcy12aWRlby12Mi4wO3ZpZGVvX2lkOnZpZGVvXzdhMzdkMjM3Yjc4Nzk3YmQ4YWM2N2ZkMjBhNDQ2NDc2OGIzM2NiMzBlY2VmNzYwOQ==,chapter1_output\0010_人类第一艘真正意义上的星际飞船在地球同步_20260614_021234.mp4,,478.4
