prompt,image_prompt,width,height,num_frames,frame_rate,seed,negative_prompt
"鏃楄埌缁堜簬鎶佃揪浜嗕竴棰楅檶鐢熺殑澶栨槦鐞冧笂绌哄紑濮嬭繘琛岃建閬撴壂鎻?,"鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€鍦烘櫙:澶┖銆傛棗鑸版偓鍋滃湪涓€棰楄摑缁胯壊琛屾槦鐨勮建閬撲笂涓€閬撴壂鎻忓厜鏉熶粠鑸板簳灏勫悜琛屾槦琛ㄩ潰銆?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"杩欓琛屾槦鏄竴棰楃被鍦拌鏄熻〃闈㈡湁娑叉€佹按鍜屽ぇ姘斿眰","鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€鍦烘櫙:澶┖銆傝鏄熺殑钃濊壊娴锋磱鍜岀豢鑹查檰鍦板湪鎭掓槦鐓ц€€涓嬫竻鏅板彲瑙佷簯灞傚湪鍖楁瀬鍦板尯鏃嬭浆褰㈡垚宸ㄥぇ鐨勯鏆淬€?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"钀у畤涓嬩护娲惧嚭鐧婚檰灏忛槦鍓嶅線琛屾槦琛ㄩ潰杩涜棣栨瀹炲湴鍕樺療","鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€涓昏:澶╂墠绉戝瀹惰惂瀹?35宀佺澘鏅烘矇绋抽粦鍙戠┛娣辫壊瀹為獙鏈?銆傜粺涓€鍦烘櫙:鏄熼檯鎴樿埌鎸囨尌澶у巺銆傝惂瀹囧湪鍏ㄦ伅鍦板浘涓婃爣璁颁簡涓€涓潃闄嗙偣銆?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"鐧婚檰鑸变粠鏃楄埌鐨勮揣鑸变腑鍒嗙缂撶紦鍚戣鏄熻〃闈㈤檷钀?,"鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€鍦烘櫙:澶┖銆傜櫥闄嗚埍鐨勫熬閮ㄥ柗灏勫嚭绾㈣壊鐨勭伀鐒板湪琛屾槦澶ф皵灞備腑鍒掑嚭涓€閬撴槑浜殑杞ㄨ抗銆?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"鐧婚檰鑸辩┛杩囧帤鍘氱殑浜戝眰澶ф皵鎽╂摝浣胯埍浣撹〃闈㈠彉寰楅€氱孩","鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€鍦烘櫙:琛屾槦澶ф皵灞傘€傜櫥闄嗚埍琚绾㈣壊鐨勭瓑绂诲瓙鐏劙鍖呰９鍛ㄥ洿鏄炕婊氱殑鐧借壊浜戝眰銆?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"鐫€闄嗘敮鏋跺湪鎺ヨ繎鍦伴潰鏃跺睍寮€缂撳啿寮曟搸鐐圭伀鍑忛€?,"鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€鍦烘櫙:琛屾槦鍦拌〃涓婄┖銆傜櫥闄嗚埍搴曢儴鐨勫洓涓紦鍐插紩鎿庡柗鍑烘贰钃濊壊鐨勭伀鐒扮潃闄嗘敮鏋朵粠鑸变綋鍥涜浼稿嚭銆?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"鐧婚檰鑸卞湪琛屾槦琛ㄩ潰鐨勪竴鐗囧钩鍘熶笂绋崇ǔ闄嶈惤婵€璧锋极澶╁皹鍦?,"鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€鍦烘櫙:澶栨槦鐞冨湴琛ㄣ€傜櫥闄嗚埍闄嶈惤鍦ㄤ竴鐗囩伆鑹茬殑骞冲師涓婂法澶х殑灏樺湡浜戝悜鍥涘懆鎵╂暎閬斀浜嗗ぉ绌恒€?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"钀у畤浣滀负鐧婚檰灏忛槦鐨勯槦闀跨涓€涓笍鍑轰簡鑸遍棬","鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€涓昏:澶╂墠绉戝瀹惰惂瀹?35宀佺澘鏅烘矇绋抽粦鍙戠┛娣辫壊瀹為獙鏈?銆傜粺涓€鍦烘櫙:澶栨槦鐞冨湴琛ㄣ€傝惂瀹囩┛鐫€鐧借壊瀹囪埅鏈嶄粠鐧婚檰鑸辩殑鏂滃潯涓婅蛋涓嬫潵闈村瓙韪╁湪鐏拌壊鐨勫湡澹や笂銆?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"澶栨槦鐞冪殑澶╃┖鍛堢幇鍑烘贰绱壊鐨勮壊璋冧袱棰楀崼鏄熸偓鎸傚湪澶╅檯","鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€鍦烘櫙:澶栨槦鐞冨湴琛ㄣ€傛贰绱壊鐨勫ぉ绌轰腑涓ら澶у皬涓嶄竴鐨勫崼鏄熸偓鎸傚湪涓嶅悓鐨勯珮搴﹁繙澶勬槸杩炵坏鐨勫北鑴夈€?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
"鐧婚檰灏忛槦鐨勪紶鎰熷櫒妫€娴嬪埌琛屾槦澶ф皵涓惈鏈夋哀姘斾絾娴撳害鐣ラ珮浜庡湴鐞?,"鐢靛奖绾х骞绘憚褰卞畯澶у彶璇楁劅8K瓒呮竻楂樺姣斿害鍐锋殩璋冭壊鐢靛奖绾ф櫙娣辫兌鐗囬绮掕川鎰熴€傜粺涓€鍦烘櫙:澶栨槦鐞冨湴琛ㄣ€備竴鍚嶉槦鍛樻墜鎸佷究鎼哄紡鍒嗘瀽浠睆骞曚笂鐨勬暟鎹樉绀虹潃澶ф皵鎴愬垎銆?,1152,768,81,24,42,"鐢婚潰闂儊瑙掕壊鍙樺舰缁撴瀯閿欎綅璺冲抚鐢婚潰鎶栧姩妯＄硦杩囧害鏇濆厜"
