prompt,image_prompt,width,height,num_frames,frame_rate,seed,negative_prompt
萧宇下令在希望号内部开辟专门区域改造为特殊材料研究基地,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一主角：天才科学家萧宇（35岁，睿智沉稳，黑发，穿深色实验服）。统一场景：希望号内部改造希望号内部空间被重新划分出三层舱室作为材料研究基地。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
研究基地被命名为零号实验室它是人类最先进的外星材料研究中心,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一主角：天才科学家萧宇（35岁，睿智沉稳，黑发，穿深色实验服）。统一场景：希望号零号实验室入口新建的零号实验室入口处悬挂着金属铭牌上面刻着零号实验室。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
基地内配备了十二台超高精度分析仪器可以解析任何物质的分子结构,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一场景：零号实验室内景十二台分析仪器一字排开每台设备都在发出微弱的工作光芒。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
萧宇亲自为研究基地挑选了三十名最顶尖的材料科学家,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一主角：天才科学家萧宇（35岁，睿智沉稳，黑发，穿深色实验服）。统一场景：希望号零号实验室萧宇看着三十名科学家在实验台前就位眼中满是期待。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
钛锆合金的深入分析工作首先在零号实验室展开,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一场景：零号实验室钛锆分析台钛锆合金样品在光谱仪下被分解成原子级别的数据。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
科学家们发现钛锆合金在极端低温下会表现出超导特性,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一场景：零号实验室超导测试钛锆合金在极低温下电阻降为零电流无损耗地通过合金样品。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
萧宇意识到超导钛锆合金可以用于战舰的磁约束反应堆提高效率,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一主角：天才科学家萧宇（35岁，睿智沉稳，黑发，穿深色实验服）。统一场景：希望号舰桥萧宇在记录板上标注超导钛锆合金在磁约束反应堆中的应用方案。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
纳米合金的结构分析在零号实验室中深入进行,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一场景：零号实验室纳米合金分析台纳米合金样品在电子显微镜下展示出其精妙的六角密堆积结构。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
拾荒者文明的纳米制造技术被逆向工程逐步解析,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一场景：零号实验室纳米制造解析纳米制造过程的三维模拟在屏幕上运行每一步都被精确分析。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
萧宇将纳米合金的制造方法编写成技术手册分发给所有建造车间,电影级科幻摄影，宏大史诗感，8K超清，高对比度冷暖调色，电影级景深，胶片颗粒质感。统一主角：天才科学家萧宇（35岁，睿智沉稳，黑发，穿深色实验服）。统一场景：希望号舰桥萧宇将纳米合金技术手册发送到所有建造车间全息发送进度条快速推进。,1152,768,81,24,42,画面闪烁，角色变形，结构错位，跳帧，画面抖动，模糊，过度曝光
